Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Hakim Ziyech,Chelsea,Midfielder,0.4,0.96,22,0,1.7,6.59,6,0.32,0.59,0,0.28,4.0,4.0,0.0,5.5,2,1,1.875532821824382,0.09487087517934002,0.1263494318181818,0.06220735785953177,4.0,3.0,-0.59
Ruben Loftus-Cheek,Chelsea,Midfielder,0.1,1.17,37,1,1.9,21.72,20,0.34,0.85,0,0.17,7.4,7.4,0.1,5.0,5,1,3.154305200341006,0.1533357245337159,0.1455255681818182,0.11304347826086956,,,-0.85
Christian Pulisic,Chelsea,Midfielder,0.5,0.88,35,0,1.8,9.32,8,0.38,1.28,1,0.21,6.2,6.2,0.2,5.6,3,1,2.9838022165387894,0.10401721664275466,0.11448863636363636,0.12976588628762542,,,-0.28
Mason Mount,Chelsea,Midfielder,3.6,1.11,81,8,3.5,23.37,21,0.44,1.92,3,0.26,11.2,11.2,0.0,7.2,8,4,6.905370843989769,0.2968077474892396,0.3276278409090909,0.2508361204013378,3.0,6.0,1.08
Conor Gallagher,Chelsea,Midfielder,0.5,0.94,40,2,1.5,18.4,11,0.34,1.26,1,0.24,7.1,7.1,0.2,5.6,4,6,3.410059676044331,0.2268651362984218,0.21100852272727275,0.15585284280936454,,5.0,-0.26
Raheem Sterling,Chelsea,Midfielder,3.3,1.09,70,6,3.3,18.2,17,0.32,4.68,4,0.46,7.2,7.2,0.1,9.7,5,4,5.967604433077579,0.24300573888091823,0.2759943181818182,0.3277591973244147,,,-0.6799999999999997
Denis Zakaria,Chelsea,Midfielder,0.0,1.07,11,0,1.8,4.58,3,0.54,0.19,0,0.06,2.2,2.2,0.0,4.9,2,0,0.937766410912191,0.035150645624103305,0.015340909090909093,0.016053511705685617,,,-0.19
Omari Hutchinson,Chelsea,Midfielder,0.0,0.0,1,0,1.0,0.63,0,0.0,0.0,0,0.08,0.2,0.2,0.0,4.2,0,0,0.08525149190110827,0.000896700143472023,0.001278409090909091,0.0026755852842809363,,,0.0
Lewis Hall,Chelsea,Midfielder,0.0,1.19,8,0,1.6,3.81,3,0.3,0.42,0,0.19,1.9,1.9,0.0,4.3,1,1,0.6820119352088662,0.04429698708751793,0.042045454545454546,0.03745819397993311,,,-0.42
Mykhailo Mudryk,Chelsea,Midfielder,1.1,1.03,14,0,1.6,5.32,4,0.0,1.03,0,0.37,2.2,2.2,0.1,6.5,0,0,1.1935208866155158,0.04609038737446198,0.030894886363636364,0.048160535117056855,,,-1.03
Noni Madueke,Chelsea,Midfielder,0.0,0.84,7,0,1.4,2.61,2,0.0,0.14,0,0.15,1.3,1.3,0.0,5.5,0,0,0.5967604433077579,0.04071018651362984,0.05724431818181818,0.03745819397993311,,,-0.14
Enzo Fernández,Chelsea,Midfielder,1.4,1.01,29,1,2.9,9.51,10,0.3,0.55,0,0.2,5.8,5.8,0.4,5.0,3,1,2.47229326513214,0.1917144906743185,0.125,0.027424749163879596,,,-0.55
Albert Sambi Lokonga,Crystal Palace,Midfielder,0.2,0.96,21,0,1.6,7.55,7,0.27,0.0,0,0.02,4.9,4.9,0.1,4.3,2,1,1.9319227230910765,0.08608321377331421,0.03806818181818182,0.0,,,0.0
James McArthur,Crystal Palace,Midfielder,0.0,0.0,2,0,1.0,0.11,0,0.0,0.0,0,0.0,0.4,0.4,0.0,4.8,0,0,0.18399264029438822,0.0044835007173601145,0.00078125,0.0,,,0.0
Luka Milivojevic,Crystal Palace,Midfielder,0.3,0.86,19,0,1.4,7.23,6,0.43,0.24,0,0.08,4.5,4.5,0.2,4.2,2,1,1.7479300827966882,0.05649210903873744,0.0265625,0.009364548494983277,2.0,4.0,-0.24
Jordan Ayew,Crystal Palace,Midfielder,0.3,1.04,79,4,2.6,33.21,32,0.23,2.32,3,0.19,15.2,15.2,0.9,5.2,5,3,7.267709291628336,0.34971305595408897,0.25035511363636365,0.21070234113712374,,,0.6800000000000002
Wilfried Zaha,Crystal Palace,Midfielder,6.9,1.05,86,6,3.6,30.37,30,0.22,5.7,6,0.36,11.9,11.9,0.2,7.2,5,4,7.911683532658693,0.37733142037302725,0.2384943181818182,0.5063545150501672,1.0,,0.2999999999999998
Jeffrey Schlupp,Crystal Palace,Midfielder,0.1,1.07,74,1,2.6,32.64,33,0.29,2.37,2,0.14,15.7,15.7,0.9,4.7,7,5,6.807727690892364,0.29985652797704443,0.16242897727272726,0.17725752508361203,,,-0.3700000000000001
Will Hughes,Crystal Palace,Midfielder,0.0,0.63,21,0,1.1,9.4,7,0.0,0.17,0,0.08,4.4,4.4,0.3,4.8,0,4,1.9319227230910765,0.078012912482066,0.03913352272727273,0.026755852842809364,,3.0,-0.17
Jairo Riedewald,Crystal Palace,Midfielder,0.0,0.0,4,0,1.0,0.89,0,0.0,0.0,0,0.02,1.0,1.0,0.0,4.2,0,0,0.36798528058877644,0.008787661406025826,0.0014204545454545455,0.0,,,0.0
Eberechi Eze,Crystal Palace,Midfielder,2.3,1.04,104,13,3.5,24.72,26,0.28,4.11,5,0.29,19.3,19.3,0.6,5.4,6,3,9.567617295308189,0.3882711621233859,0.4400568181818182,0.27959866220735785,,2.0,0.8899999999999997
Michael Olise,Crystal Palace,Midfielder,1.9,1.02,103,14,3.6,29.11,29,0.22,2.34,2,0.3,18.7,18.7,0.9,5.5,5,2,9.475620975160993,0.43956241032998566,0.5555397727272727,0.22608695652173913,,1.0,-0.33999999999999986
Malcolm Ebiowei,Crystal Palace,Midfielder,0.2,0.0,3,0,1.0,0.18,1,0.0,0.0,0,0.03,0.7,0.7,0.0,4.2,0,0,0.27598896044158233,0.003048780487804878,0.0006392045454545455,0.0026755852842809363,,,0.0
Cheick Doucouré,Crystal Palace,Midfielder,0.1,1.11,54,3,2.0,33.91,34,0.16,0.94,0,0.08,10.8,10.8,0.3,5.0,4,8,4.967801287948482,0.34899569583931134,0.20688920454545456,0.08160535117056855,,,-0.94
David Ozoh,Crystal Palace,Midfielder,0.0,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.09199632014719411,0.0,0.0005681818181818183,0.0,,,0.0
Naouirou Ahamada,Crystal Palace,Midfielder,0.0,0.0,6,0,0.9,1.83,2,0.0,0.15,0,0.18,1.3,1.3,0.1,4.5,0,1,0.5519779208831647,0.00663558106169297,0.009375,0.009364548494983277,,,-0.15
Dele Alli,Everton,Midfielder,0.1,0.0,2,0,1.0,1.68,1,0.0,0.0,0,0.0,0.4,0.4,0.0,5.3,0,0,0.199203187250996,0.0005380200860832137,0.0015625,0.004013377926421404,,,0.0
Abdoulaye Doucouré,Everton,Midfielder,0.1,1.0,44,5,2.3,20.14,16,0.27,1.68,2,0.22,8.3,8.3,0.7,5.3,3,5,4.382470119521913,0.17055236728837875,0.12357954545454546,0.10367892976588629,,,0.32000000000000006
