Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_def
Issa Diop,Fulham,Defender,0.3,0.96,63,6,3.3,25.99,19,0.36,0.29,1,0.03,14.7,14.7,0.1,4.3,6,2,5.3800170794193,0.30936154949784794,0.0171875,0.05217391304347826,,,-6.989999999999998
Kevin Mbabu,Fulham,Defender,0.1,0.64,7,0,1.2,7.18,7,0.0,0.0,0,0.27,1.6,1.6,0.0,4.3,0,1,0.5977796754910333,0.03568866571018651,0.026775568181818185,0.0,,,-0.17999999999999972
Layvin Kurzawa,Fulham,Defender,0.0,1.32,2,0,0.7,4.57,4,0.0,0.0,0,0.02,0.5,0.5,0.0,4.3,0,1,0.1707941929974381,0.018113342898134863,0.0031960227272727275,0.0,,,-0.5700000000000003
Jonny Evans,Leicester,Defender,0.1,1.0,12,0,1.2,15.2,24,0.11,0.17,0,0.03,2.7,2.7,0.0,4.4,1,0,1.0676156583629894,0.16050932568149212,0.014417613636363638,0.023411371237458192,,,8.8
Ricardo Barbosa Pereira,Leicester,Defender,0.1,0.94,19,2,2.4,7.03,9,0.0,0.12,1,0.19,4.4,4.4,0.7,4.3,0,1,1.6903914590747333,0.12051649928263988,0.06363636363636363,0.016722408026755852,,,1.9699999999999998
Daniel Amartey,Leicester,Defender,0.7,1.01,51,4,2.5,27.56,27,0.28,1.07,0,0.08,12.8,12.8,0.2,4.0,5,1,4.537366548042705,0.321377331420373,0.056676136363636366,0.033444816053511704,,,-0.5599999999999987
Timothy Castagne,Leicester,Defender,6.1,0.99,91,9,3.1,45.87,47,0.25,1.83,1,0.12,20.7,20.7,0.6,4.4,7,3,8.09608540925267,0.5014347202295553,0.22578125,0.157190635451505,,,1.1300000000000026
Çaglar Söyüncü,Leicester,Defender,0.2,1.15,2,0,1.0,1.23,1,0.0,0.0,0,0.0,0.5,0.5,0.0,4.2,0,1,0.1779359430604982,0.013450502152080344,0.0002130681818181818,0.0,,,-0.22999999999999998
James Justin,Leicester,Defender,0.4,1.01,45,2,3.2,21.31,25,0.36,0.31,0,0.06,11.0,11.0,0.0,4.1,5,0,4.0035587188612105,0.1868723098995696,0.09857954545454546,0.026755852842809364,,,3.6900000000000013
Luke Thomas,Leicester,Defender,0.1,1.0,18,0,1.6,15.11,16,0.13,0.07,0,0.06,4.6,4.6,0.1,3.9,1,1,1.601423487544484,0.09953371592539455,0.03920454545454546,0.006688963210702341,,,0.8900000000000006
Lewis Brunt,Leicester,Defender,0.3,0.0,1,0,1.0,0.78,1,0.0,0.0,0,0.04,0.3,0.3,0.0,3.9,0,0,0.0889679715302491,0.0019727403156384504,0.0007102272727272727,0.0,,,0.21999999999999997
Wout Faes,Leicester,Defender,0.2,1.0,52,3,2.3,37.7,35,0.26,0.59,0,0.05,12.4,12.4,0.5,4.2,6,4,4.6263345195729535,0.4598278335724533,0.06569602272727273,0.05016722408026755,,,-2.700000000000003
Victor Kristiansen,Leicester,Defender,0.0,1.07,9,0,1.3,11.99,11,0.0,0.12,0,0.1,2.0,2.0,0.2,4.5,0,1,0.800711743772242,0.10688665710186514,0.058380681818181825,0.009364548494983277,,1.0,-0.9900000000000002
Harry Souttar,Leicester,Defender,0.0,1.0,12,0,1.3,14.7,16,0.0,1.36,0,0.16,2.7,2.7,0.2,4.5,0,2,1.0676156583629894,0.17557388809182212,0.02002840909090909,0.030769230769230767,,,1.3000000000000007
Liam Cooper,Leeds,Defender,0.1,0.96,31,1,2.2,19.56,23,0.16,0.88,1,0.08,7.0,7.0,0.0,4.4,2,2,2.8810408921933086,0.2157460545193687,0.03501420454545454,0.0923076923076923,,,3.4400000000000013
Luke Ayling,Leeds,Defender,0.3,0.95,47,2,2.0,28.88,32,0.18,1.69,1,0.21,10.4,10.4,0.4,4.5,3,2,4.368029739776952,0.30236728837876614,0.11491477272727274,0.13846153846153844,,,3.120000000000001
Diego Llorente,Leeds,Defender,0.2,0.97,16,2,2.0,11.0,12,0.14,0.72,0,0.1,3.6,3.6,0.0,4.4,1,1,1.486988847583643,0.08877331420373027,0.0041193181818181815,0.026755852842809364,,,1.0
Robin Koch,Leeds,Defender,0.2,1.03,52,2,1.8,48.1,52,0.18,0.81,0,0.04,11.6,11.6,0.2,4.5,5,6,4.83271375464684,0.4449426111908178,0.02634943181818182,0.08428093645484949,,,3.8999999999999986
Pascal Struijk,Leeds,Defender,0.6,1.06,65,4,2.7,36.65,42,0.18,1.25,2,0.11,14.4,14.4,0.2,4.5,4,4,6.04089219330855,0.45086083213773315,0.14225852272727274,0.1692307692307692,,,5.350000000000001
Junior Firpo Adames,Leeds,Defender,0.1,0.92,27,3,1.9,18.9,20,0.09,0.07,1,0.08,6.0,6.0,0.2,4.5,1,5,2.509293680297398,0.22022955523672882,0.08572443181818182,0.02608695652173913,,,1.1000000000000014
Rasmus Kristensen,Leeds,Defender,0.4,0.95,42,1,2.2,25.34,30,0.14,0.71,2,0.1,8.9,8.9,0.7,4.7,2,4,3.903345724907063,0.30774748923959827,0.09744318181818182,0.09431438127090301,,,4.66
Cody Drameh,Leeds,Defender,0.1,1.29,1,0,1.0,1.4,3,0.0,0.0,0,0.01,0.2,0.2,0.0,4.0,0,0,0.09293680297397769,0.011477761836441894,0.0019176136363636366,0.0,,,1.6
Maximilian Wöber,Leeds,Defender,0.0,1.03,23,2,2.3,11.84,10,0.23,0.58,0,0.1,5.2,5.2,0.0,4.4,2,1,2.137546468401487,0.171090387374462,0.0434659090909091,0.033444816053511704,,,-1.8399999999999999
Joel Matip,Liverpool,Defender,0.8,0.99,26,2,2.2,13.91,15,0.3,0.07,0,0.1,4.4,4.4,0.3,5.9,3,3,1.9316493313521546,0.15064562410329985,0.03323863636363636,0.022073578595317726,,,1.0899999999999999
Virgil van Dijk,Liverpool,Defender,11.3,1.02,96,10,4.0,33.43,28,0.34,2.09,3,0.11,14.8,14.8,0.0,6.5,8,2,7.13224368499257,0.4845767575322812,0.054971590909090914,0.21672240802675585,,,-5.43
Andrew Robertson,Liverpool,Defender,5.8,1.01,93,9,3.6,29.32,26,0.32,1.24,0,0.32,13.7,13.7,0.1,6.8,7,3,6.909361069836553,0.3721305595408895,0.4634943181818182,0.13043478260869565,,2.0,-3.3200000000000003
Trent Alexander-Arnold,Liverpool,Defender,18.1,1.07,101,15,3.6,33.59,32,0.3,1.73,1,0.32,13.8,13.8,0.2,7.3,7,4,7.5037147102526,0.4653873744619799,0.6188920454545455,0.12909698996655516,,1.0,-1.5900000000000034
Joseph Gomez,Liverpool,Defender,0.9,0.92,68,8,3.4,23.51,12,0.53,0.17,0,0.05,15.8,15.8,0.5,4.3,8,3,5.052005943536404,0.26703730272596843,0.03103693181818182,0.01806020066889632,,,-11.510000000000002
Ibrahima Konaté,Liverpool,Defender,0.8,0.98,29,0,2.6,17.38,15,0.39,1.06,0,0.12,6.0,6.0,0.5,4.8,4,1,2.1545319465081723,0.16319942611190819,0.008167613636363636,0.06956521739130435,,,-2.379999999999999
Konstantinos Tsimikas,Liverpool,Defender,0.2,1.02,41,2,2.6,12.44,8,0.44,0.68,0,0.26,9.5,9.5,0.5,4.3,3,2,3.0460624071322435,0.14992826398852221,0.19041193181818183,0.08294314381270902,,3.0,-4.4399999999999995
Nathaniel Phillips,Liverpool,Defender,0.5,1.38,3,0,1.5,0.48,1,0.0,0.04,0,0.07,0.8,0.8,0.0,3.8,0,0,0.22288261515601782,0.013809182209469154,0.0009943181818181817,0.012040133779264214,,,0.52
Kyle Walker,Man City,Defender,3.8,1.05,41,0,2.3,10.74,14,0.3,0.35,0,0.09,8.7,8.7,0.1,4.7,4,2,2.6248399487836105,0.1368364418938307,0.09630681818181817,0.016053511705685617,,,3.26
John Stones,Man City,Defender,2.4,1.02,65,11,3.8,9.53,14,0.38,0.59,0,0.1,12.0,12.0,0.2,5.4,6,2,4.161331626120359,0.23170731707317072,0.08970170454545455,0.06220735785953177,,,4.470000000000001
